,barrio,Distrito,Vulnerabilidad,Esperanza de vida (años),Renta media hogar (€),Código,Superficiekm²2,fecha,cod_municipio,municipio,cod_distrito,distrito,cod_barrio,num_personas,num_personas_hombres,num_personas_mujeres
76,NIÑO JESUS,Retiro,124.0,"83,8",69.74,36,0.643,1 de enero de 2023,28079.0,Madrid,3, Retiro,36,15.093,6.812,8.281
77,NUEVA ESPAÑA,Chamartín,123.0,"84,8",77.392,55,1.788,1 de enero de 2023,28079.0,Madrid,5, Chamartín,55,24.466,11.050,13.416
78,NUMANCIA,Puente de Vallecas,3.0,"82,8",23.662,136,1.849,1 de enero de 2023,28079.0,Madrid,13, Puente de Vallecas,136,48.720,23.064,25.656
79,OPAÑEL,Carabanchel,20.0,"82,7",27.181,112,1.106,1 de enero de 2023,28079.0,Madrid,11, Carabanchel,112,33.883,15.556,18.327
80,ORCASITAS,Usera,25.0,"81,3",25.886,121,1.356,1 de enero de 2023,28079.0,Madrid,12, Usera,121,23.085,10.900,12.185
81,ORCASUR,Usera,16.0,"80,6",23.155,122,1.384,1 de enero de 2023,28079.0,Madrid,12, Usera,122,14.390,6.987,7.403
82,PACIFICO,Retiro,104.0,"84,2",40.851,31,0.75,1 de enero de 2023,28079.0,Madrid,3, Retiro,31,33.027,14.809,18.218
83,PALACIO,Centro,57.0,"79,5",32.445,11,1.471,1 de enero de 2023,28079.0,Madrid,1, Centro,11,23.501,11.557,11.944
84,PALOMAS,Hortaleza,111.0,"78,8",77.837,161,1.128,1 de enero de 2023,28079.0,Madrid,16, Hortaleza,161,6.922,3.404,3.518
85,PALOMERAS BAJAS,Puente de Vallecas,7.0,"82,8",27.963,133,1.724,1 de enero de 2023,28079.0,Madrid,13, Puente de Vallecas,133,40.477,18.947,21.530
86,PALOMERAS SURESTE,Puente de Vallecas,6.0,"82,3",25.307,134,3.118,1 de enero de 2023,28079.0,Madrid,13, Puente de Vallecas,134,43.162,20.491,22.671
87,PALOS DE LA FRONTERA,Arganzuela,70.0,"83,3",32.218,26,0.643,1 de enero de 2023,28079.0,Madrid,2, Arganzuela,26,25.097,11.797,13.300
88,PAVONES,Moratalaz,54.0,81,33.197,141,1.016,1 de enero de 2023,28079.0,Madrid,14, Moratalaz,141,8.814,4.035,4.779
89,PEÑAGRANDE,Fuencarral-El Pardo,79.0,"83,1",44.659,83,2.89,1 de enero de 2023,28079.0,Madrid,8, Fuencarral-El Pardo,83,44.341,20.597,23.744
90,PILAR,Fuencarral-El Pardo,67.0,"83,6",33.138,84,1.359,1 de enero de 2023,28079.0,Madrid,8, Fuencarral-El Pardo,84,45.610,20.720,24.890
91,PINAR DEL REY,Hortaleza,59.0,"83,6",33.645,164,2.632,1 de enero de 2023,28079.0,Madrid,16, Hortaleza,164,52.031,23.825,28.206
92,PIOVERA,Hortaleza,110.0,"83,4",101.62,162,3.139,1 de enero de 2023,28079.0,Madrid,16, Hortaleza,162,15.041,7.211,7.830
93,PORTAZGO,Puente de Vallecas,5.0,"81,3",22.797,135,1.245,1 de enero de 2023,28079.0,Madrid,13, Puente de Vallecas,135,28.741,13.471,15.270
94,PRADOLONGO,Usera,8.0,"82,7",21.75,127,1.095,1 de enero de 2023,28079.0,Madrid,12, Usera,127,17.878,8.438,9.440
95,PROSPERIDAD,Chamartín,91.0,83,42.259,52,1.043,1 de enero de 2023,28079.0,Madrid,5, Chamartín,52,36.027,16.072,19.955
96,PUEBLO NUEVO,Ciudad Lineal,46.0,"82,8",29.206,152,2.319,1 de enero de 2023,28079.0,Madrid,15, Ciudad Lineal,152,62.840,28.982,33.858
97,PUERTA BONITA,Carabanchel,11.0,"82,1",24.384,115,1.607,1 de enero de 2023,28079.0,Madrid,11, Carabanchel,115,36.798,17.349,19.449
98,PUERTA DEL ANGEL,Latina,26.0,"83,2",26.497,102,1.374,1 de enero de 2023,28079.0,Madrid,10, Latina,102,43.292,20.165,23.127
99,QUINTANA,Ciudad Lineal,45.0,"83,6",29.504,153,0.722,1 de enero de 2023,28079.0,Madrid,15, Ciudad Lineal,153,25.469,11.449,14.020
100,RECOLETOS,Salamanca,122.0,"84,1",82.755,41,0.87,1 de enero de 2023,28079.0,Madrid,4, Salamanca,41,15.444,6.966,8.478
101,REJAS,San Blas,60.0,"85,2",36.011,206,5.007,1 de enero de 2023,28079.0,Madrid,20, San Blas-Canillejas,206,17.399,8.495,8.904
102,RIOS ROSAS,Chamberí,101.0,"84,4",47.942,75,0.971,1 de enero de 2023,28079.0,Madrid,7, Chamberí,75,27.163,11.828,15.335
103,ROSAS,San Blas,74.0,"83,8",41.993,205,9.388,1 de enero de 2023,28079.0,Madrid,20, San Blas-Canillejas,205,30.751,14.727,16.024
104,SALVADOR,San Blas,73.0,"84,5",53.791,208,1.881,1 de enero de 2023,28079.0,Madrid,20, San Blas-Canillejas,208,11.202,5.279,5.923
105,VILLAVERDE ALTO,Villaverde,10.0,82,23.505,171,9.192,1 de enero de 2023,28079.0,Madrid,17, Villaverde,171,47.817,22.826,24.991
106,SAN CRISTOBAL,Villaverde,4.0,"81,3",17.786,172,1.106,1 de enero de 2023,28079.0,Madrid,17, Villaverde,172,17.270,8.586,8.684
107,SAN DIEGO,Puente de Vallecas,1.0,"82,1",19.765,132,1.069,1 de enero de 2023,28079.0,Madrid,13, Puente de Vallecas,132,45.104,21.593,23.511
108,SAN FERMIN,Usera,19.0,"82,1",24.196,123,1.463,1 de enero de 2023,28079.0,Madrid,12, Usera,123,23.598,11.246,12.352
109,SAN ISIDRO,Carabanchel,9.0,"82,7",24.847,113,1.899,1 de enero de 2023,28079.0,Madrid,11, Carabanchel,113,40.368,18.969,21.399
110,SAN JUAN BAUTISTA,Ciudad Lineal,80.0,"83,9",55.567,156,1.01,1 de enero de 2023,28079.0,Madrid,15, Ciudad Lineal,156,12.445,5.813,6.632
111,SAN PASCUAL,Ciudad Lineal,65.0,"84,2",41.228,155,1.052,1 de enero de 2023,28079.0,Madrid,15, Ciudad Lineal,155,18.327,8.349,9.978
112,SANTA EUGENIA,Villa de Vallecas,48.0,"82,3",35.176,182,2.08,1 de enero de 2023,28079.0,Madrid,18, Villa de Vallecas,182,23.876,11.381,12.495
113,SIMANCAS,San Blas,38.0,"83,1",29.645,201,2.278,1 de enero de 2023,28079.0,Madrid,20, San Blas-Canillejas,201,28.765,13.560,15.205
114,SOL,Centro,53.0,"79,1",27.707,16,0.445,1 de enero de 2023,28079.0,Madrid,1, Centro,16,8.164,4.239,3.925
115,TIMON,Barajas,98.0,83,38.994,214,9.595,1 de enero de 2023,28079.0,Madrid,21, Barajas,214,12.049,5.702,6.347
116,TRAFALGAR,Chamberí,95.0,"83,5",39.428,73,0.611,1 de enero de 2023,28079.0,Madrid,7, Chamberí,73,24.621,11.147,13.474
117,UNIVERSIDAD,Centro,55.0,"82,8",28.883,15,0.947,1 de enero de 2023,28079.0,Madrid,1, Centro,15,32.783,16.269,16.514
118,VALDEACEDERAS,Tetuán,41.0,83,26.531,65,1.163,1 de enero de 2023,28079.0,Madrid,6, Tetuán,65,26.573,12.442,14.131
119,VALDEFUENTES,Hortaleza,96.0,"83,2",52.806,166,16.778,1 de enero de 2023,28079.0,Madrid,16, Hortaleza,166,69.176,33.831,35.345
120,VALDEMARIN,Moncloa-Aravaca,127.0,"81,2",111.689,95,3.305,1 de enero de 2023,28079.0,Madrid,9, Moncloa-Aravaca,95,7.156,3.339,3.817
121,VALDEZARZA,Moncloa-Aravaca,78.0,"83,7",33.997,94,1.397,1 de enero de 2023,28079.0,Madrid,9, Moncloa-Aravaca,94,30.484,14.001,16.483
122,VALLEHERMOSO,Chamberí,115.0,"84,3",56.812,76,1.068,1 de enero de 2023,28079.0,Madrid,7, Chamberí,76,19.853,8.619,11.234
123,VALVERDE,Fuencarral-El Pardo,77.0,"82,2",39.881,86,8.977,1 de enero de 2023,28079.0,Madrid,8, Fuencarral-El Pardo,86,64.757,30.851,33.906
124,VENTAS,Ciudad Lineal,47.0,"83,9",27.436,151,3.198,1 de enero de 2023,28079.0,Madrid,15, Ciudad Lineal,151,50.218,22.868,27.350
125,VINATEROS,Moratalaz,50.0,"84,3",28.287,146,0.593,1 de enero de 2023,28079.0,Madrid,14, Moratalaz,146,16.885,7.482,9.403
126,VISTA ALEGRE,Carabanchel,14.0,"83,2",27.013,114,1.589,1 de enero de 2023,28079.0,Madrid,11, Carabanchel,114,47.727,21.823,25.904
127,ZOFIO,Usera,13.0,"84,3",24.303,126,0.775,1 de enero de 2023,28079.0,Madrid,12, Usera,126,14.382,6.681,7.701
128,VALLECAS,,,,,183,6.341,1 de enero de 2023,28079.0,Madrid,18, Villa de Vallecas,183,53.208,25.932,27.276
129,VALDEBERNARDO,,,,,192,2.555,1 de enero de 2023,28079.0,Madrid,19, Vicálvaro,192,17.471,8.330,9.141
130,VALDERRIVAS,,,,,193,0.643,1 de enero de 2023,28079.0,Madrid,19, Vicálvaro,193,17.760,8.589,9.171
131,CAÑAVERAL,,,,,194,10.574,1 de enero de 2023,28079.0,Madrid,19, Vicálvaro,194,13.054,6.652,6.402
